id,artist,before,after
692,Elevation Worship,Top Songs ✝️ O Come to the Altar,Top Songs O Come to the Altar
693,Elevation Worship,🙏 Top Hits Music 2022 P,Top Hits Music 2022 P
697,Elevation Worship,Nonstop Worship 2025 🔥 & Maverick City,Nonstop Worship 2025 & Maverick City
727,天韻詩歌,~ 串燒歌曲 ◆給你滿滿的祝福、得勝與平安◆,~ 串燒歌曲 給你滿滿的祝福、得勝與平安
730,天韻詩歌,10首超好聽敬拜詩歌《祢的恩典勝過一切》讓神的愛觸動你心 ❤️ Worship Compilation,10首超好聽敬拜詩歌《祢的恩典勝過一切》讓神的愛觸動你心 Worship Compilation
734,生命河靈糧堂,三十週年經典詩歌串燒 30th Anniversary Worship Song Medley / # 敬拜,三十週年經典詩歌串燒 30th Anniversary Worship Song Medley
737,ACM,"""同在的神－以馬內利"" Lyric - 官方完整版","""同在的神－以馬內利"" Lyric"
745,團契遊樂園,15 路邊的一課,路邊的一課
753,基恩敬拜,《靜默有時》A time to be silent 靈修音樂 - AGWMM,《靜默有時》A time to be silent 靈修音樂
754,基恩敬拜,《Amazing Guitar 2》純結他靈修音樂 - AGWMM,《Amazing Guitar 2》純結他靈修音樂
755,基恩敬拜,《應許與我同在》You Promised To Be With Me AGWMM,《應許與我同在》You Promised To Be With Me
756,基恩敬拜,《Amazing Guitar 3》結他靈修音樂 - AGWMM,《Amazing Guitar 3》結他靈修音樂
779,Chris Tomlin,Worship Songs Of Greatest Ever🙏Top 30 Chris To,Worship Songs Of Greatest Ever Top 30 Chris To
804,Phil Wickham,I BELIEVE • HOMETOWN VERSION,I BELIEVE HOMETOWN VERSION
821,Brandon Lake,New 2024 Best Playlist of Songs 🙏 Ultimate Bra,New 2024 Best Playlist of Songs Ultimate Bra
823,Brandon Lake,Chandler Moore 2025 🙌 Gospel Worship Songs,Chandler Moore 2025 Gospel Worship Songs
853,我心旋律,🎉🎉 詩歌～竭力稱頌耶和華 🎉🎉 / 新季節、新音符、新樂章/ ～葉邵家菁(創作者),詩歌～竭力稱頌耶和華 / 新季節、新音符、新樂章/ ～葉邵家菁(創作者)
948,Elevation Worship,Yahweh We 🤍 You,Yahweh We You
1027,Hillsong Worship,’Great I AM’,Great I AM
1112,Hillsong Worship,’Great I AM’,Great I AM
1424,CityAlight,'不是我，是基督住我心',不是我，是基督住我心
1562,鹹蛋音樂事工,我的名字在祢心上 - SEMM🍳 @ACM WORSHIP CAMP 全港聯合奮興敬拜營 2024,我的名字在祢心上 - SEMM @ACM WORSHIP CAMP 全港聯合奮興敬拜營 2024
1632,鹹蛋音樂事工,轉回(何西阿書十一)- SEMM🍳,轉回(何西阿書十一)- SEMM
1633,鹹蛋音樂事工,五週年敬拜培靈會《轉回》宣傳片 - SEMM🍳,五週年敬拜培靈會《轉回》宣傳片 - SEMM
1634,鹹蛋音樂事工,唯獨救主的寶血 - SEMM🍳,唯獨救主的寶血 - SEMM
1654,悦雨音樂 GRM,Goodness of God / 棠下町集市​⁠@香港宣教會恩磐堂 / 盧凱韻AiryLolo & 阿修,Goodness of God / 棠下町集市 @香港宣教會恩磐堂 / 盧凱韻AiryLolo & 阿修
1655,悦雨音樂 GRM,從未有過像祢 / 棠下町集市​⁠@香港宣教會恩磐堂 / 盧凱韻AiryLolo & 阿修,從未有過像祢 / 棠下町集市 @香港宣教會恩磐堂 / 盧凱韻AiryLolo & 阿修
1656,悦雨音樂 GRM,馬利亞的心 / 棠下町集市​⁠@香港宣教會恩磐堂 / 盧凱韻AiryLolo & 阿修,馬利亞的心 / 棠下町集市 @香港宣教會恩磐堂 / 盧凱韻AiryLolo & 阿修
1720,悦雨音樂 GRM,好牧人 / 棠下町集市​⁠@香港宣教會恩磐堂 / 盧凱韻AiryLolo & 阿修,好牧人 / 棠下町集市 @香港宣教會恩磐堂 / 盧凱韻AiryLolo & 阿修
1738,鹹蛋音樂事工,不住聲 x 每一口呼吸 - SEMM🍳,不住聲 x 每一口呼吸 - SEMM
1739,鹹蛋音樂事工,靈修音樂 Vol.1 - SEMM🍳,靈修音樂 Vol.1 - SEMM
1740,鹹蛋音樂事工,因祢堅持 - SEMM🍳,因祢堅持 - SEMM
1775,鹹蛋音樂事工,被愛 - SEMM🍳,被愛 - SEMM
1776,鹹蛋音樂事工,我屬祢 - SEMM🍳,我屬祢 - SEMM
1787,同心圓敬拜,❏ Facing GOD 2026 全港信徒山上敬拜峰會 ❏ 《生命的冠冕》峰會異象意念短片｜What is Facing GOD? ❏,Facing GOD 2026 全港信徒山上敬拜峰會 《生命的冠冕》峰會異象意念短片｜What is Facing GOD?
1810,鹹蛋音樂事工,以馬內利將臨 - SEMM🍳/《道成肉身》 年曆詩歌專輯 2nd Track - 將臨期,以馬內利將臨 - SEMM /《道成肉身》 年曆詩歌專輯 2nd Track - 將臨期
1811,鹹蛋音樂事工,榮耀頌 - SEMM🍳/《道成肉身》 年曆詩歌專輯 1st Track,榮耀頌 - SEMM /《道成肉身》 年曆詩歌專輯 1st Track
1812,鹹蛋音樂事工,一生之久 - SEMM🍳/《刻在祢心底的名字》 Mini-Album 8th Track,一生之久 - SEMM /《刻在祢心底的名字》 Mini-Album 8th Track
1849,同心圓敬拜,(New) 同心圓丨《四面環繞的恩惠 Live》 𝙋𝙍𝙊𝙅𝙀𝘾𝙏. ○ ●/Night,(New) 同心圓丨《四面環繞的恩惠 Live》 𝙋𝙍𝙊𝙅𝙀𝘾𝙏. /Night
1909,鹹蛋音樂事工,恩惠隨著我 - SEMM🍳/《刻在祢心底的名字》 Mini-Album 7th Track,恩惠隨著我 - SEMM /《刻在祢心底的名字》 Mini-Album 7th Track
1910,鹹蛋音樂事工,活在祢愛中一切完美 - SEMM🍳/《刻在祢心底的名字》 Mini-Album 5th Track,活在祢愛中一切完美 - SEMM /《刻在祢心底的名字》 Mini-Album 5th Track
1911,鹹蛋音樂事工,被愛 Reimagined - SEMM🍳/《刻在祢心底的名字》 Mini-Album 4th Track,被愛 Reimagined - SEMM /《刻在祢心底的名字》 Mini-Album 4th Track
1954,同心圓敬拜,(New) 同心圓丨《求祢榮耀吸引我 Live》 𝙋𝙍𝙊𝙅𝙀𝘾𝙏. ○ ●/Day｜ TWS 敬拜者使團,(New) 同心圓丨《求祢榮耀吸引我 Live》 𝙋𝙍𝙊𝙅𝙀𝘾𝙏. /Day｜ TWS 敬拜者使團
2007,鹹蛋音樂事工,是祢親手把我拯救 - SEMM🍳/《刻在祢心底的名字》 Mini-Album 3rd Track,是祢親手把我拯救 - SEMM /《刻在祢心底的名字》 Mini-Album 3rd Track
2008,鹹蛋音樂事工,來自天上的信 - SEMM🍳/《刻在祢心底的名字》 Mini-Album 2nd Track,來自天上的信 - SEMM /《刻在祢心底的名字》 Mini-Album 2nd Track
2009,鹹蛋音樂事工,相遇 - SEMM🍳/《刻在祢心底的名字》 Mini-Album 1st Track,相遇 - SEMM /《刻在祢心底的名字》 Mini-Album 1st Track
2027,共享詩歌ShareHymns,22 敬拜,敬拜
2112,鹹蛋音樂事工,若未來留白 - SEMM🍳(建道神學院 「___ to the future青年會議」主題曲),若未來留白 - SEMM (建道神學院 「___ to the future青年會議」主題曲)
2113,鹹蛋音樂事工,祢配得 Lyric - SEMM🍳/敬拜讚美專輯《能見度The Valley of Sight》- 11,祢配得 Lyric - SEMM /敬拜讚美專輯《能見度The Valley of Sight》- 11
2114,鹹蛋音樂事工,每一口呼吸 Lyric - SEMM🍳/敬拜讚美專輯《能見度The Valley of Sight》- 10,每一口呼吸 Lyric - SEMM /敬拜讚美專輯《能見度The Valley of Sight》- 10
2121,共享詩歌ShareHymns,11 奉獻什麼,奉獻什麼
2166,鹹蛋音樂事工,光照 Lyric - SEMM🍳/敬拜讚美專輯《能見度The Valley of Sight》- 09,光照 Lyric - SEMM /敬拜讚美專輯《能見度The Valley of Sight》- 09
2167,鹹蛋音樂事工,唯獨祢是盼望 Lyric - SEMM🍳/敬拜讚美專輯《能見度The Valley of Sight》- 08,唯獨祢是盼望 Lyric - SEMM /敬拜讚美專輯《能見度The Valley of Sight》- 08
2168,鹹蛋音樂事工,客西馬尼園 Lyric - SEMM🍳/敬拜讚美專輯《能見度The Valley of Sight》- 07,客西馬尼園 Lyric - SEMM /敬拜讚美專輯《能見度The Valley of Sight》- 07
2296,鹹蛋音樂事工,大能的恩典 Lyric - SEMM🍳/敬拜讚美專輯《能見度The Valley of Sight》- 06,大能的恩典 Lyric - SEMM /敬拜讚美專輯《能見度The Valley of Sight》- 06
2297,鹹蛋音樂事工,微小的禱告 Lyric - SEMM🍳/敬拜讚美專輯《能見度The Valley of Sight》- 05,微小的禱告 Lyric - SEMM /敬拜讚美專輯《能見度The Valley of Sight》- 05
2298,鹹蛋音樂事工,永不失敗 Lyric - SEMM🍳/敬拜讚美專輯《能見度The Valley of Sight》- 04,永不失敗 Lyric - SEMM /敬拜讚美專輯《能見度The Valley of Sight》- 04
2356,鹹蛋音樂事工,OH! Lyric - SEMM🍳/敬拜讚美專輯《能見度The Valley of Sight》- 03,OH! Lyric - SEMM /敬拜讚美專輯《能見度The Valley of Sight》- 03
2377,Kids on the Move,Exploring the Advent of Love 🎄,Exploring the Advent of Love
2385,鹹蛋音樂事工,諸天述說 Lyric - SEMM🍳/敬拜讚美專輯《能見度The Valley of Sight》- 02,諸天述說 Lyric - SEMM /敬拜讚美專輯《能見度The Valley of Sight》- 02
2386,鹹蛋音樂事工,新三一頌 Lyric - SEMM🍳/敬拜讚美專輯《能見度The Valley of Sight》- 01,新三一頌 Lyric - SEMM /敬拜讚美專輯《能見度The Valley of Sight》- 01
2387,鹹蛋音樂事工,序 - SEMM🍳/敬拜讚美專輯《能見度The Valley of Sight》- 00,序 - SEMM /敬拜讚美專輯《能見度The Valley of Sight》- 00
2401,Kids on the Move,Exploring the Advent of Joy 🎁,Exploring the Advent of Joy
2402,Kids on the Move,Exploring the Advent of Peace 🎄,Exploring the Advent of Peace
2410,鹹蛋音樂事工,憑信跨過 - SEMM🍳,憑信跨過 - SEMM
2411,鹹蛋音樂事工,有時 [第一屆 音樂創作馬拉松成果發佈] - SEMM🍳,有時 [第一屆 音樂創作馬拉松成果發佈] - SEMM
2412,鹹蛋音樂事工,音樂創作馬拉松 Behind the Scenes [拍攝花絮] - SEMM🍳,音樂創作馬拉松 Behind the Scenes [拍攝花絮] - SEMM
2413,Kids on the Move,Exploring the Advent of Hope 🎁,Exploring the Advent of Hope
2428,鹹蛋音樂事工,我在這裏 - SEMM🍳,我在這裏 - SEMM
2429,鹹蛋音樂事工,祢坐著為王 - SEMM🍳,祢坐著為王 - SEMM
2430,鹹蛋音樂事工,永遠活著 - SEMM🍳,永遠活著 - SEMM
2446,鹹蛋音樂事工,哀歌 - 玻璃海 (Cover by SEMM🍳),哀歌 - 玻璃海 (Cover by SEMM)
2447,鹹蛋音樂事工,一切都是新的 - SEMM🍳 /重生EP.4,一切都是新的 - SEMM /重生EP.4
2450,讚美之泉兒童,【讚美之泉 2025 兒童創意敬拜特會】洛杉磯・新加坡・台灣・香港 |: 全新主題 👑 This is Who We Are 君尊的品格｜宣傳影片,【讚美之泉 2025 兒童創意敬拜特會】洛杉磯・新加坡・台灣・香港 |: 全新主題 This is Who We Are 君尊的品格｜宣傳影片
2464,鹹蛋音樂事工,浮沉 M/V Behind the Scenes [拍攝花絮] - SEMM🍳 /重生EP.3,浮沉 M/V Behind the Scenes [拍攝花絮] - SEMM /重生EP.3
2465,鹹蛋音樂事工,浮沉 M/V - SEMM🍳 /重生EP.3,浮沉 M/V - SEMM /重生EP.3
2466,鹹蛋音樂事工,浮沉 M/V Teaser - SEMM🍳 /重生EP.3,浮沉 M/V Teaser - SEMM /重生EP.3
2482,鹹蛋音樂事工,垂絲柳樹下 Piano Cover - SEMM🍳/ 詩歌純音樂系列,垂絲柳樹下 Piano Cover - SEMM / 詩歌純音樂系列
2483,鹹蛋音樂事工,遇見光 Live cover - SEMM🍳,遇見光 Live cover - SEMM
2484,鹹蛋音樂事工,定睛 A cappella Version - SEMM🍳,定睛 A cappella Version - SEMM
2498,Hillsong Kids,How Many Olives in a Litre of Olive Oil❓- Word Absurd Ep. 7,How Many Olives in a Litre of Olive Oil - Word Absurd Ep. 7
2499,Hillsong Kids,Jesus and John the Baptist... age difference? 🤷‍♂️ - Word Absurd Ep. 4,Jesus and John the Baptist... age difference? - Word Absurd Ep. 4
2500,鹹蛋音樂事工,徹底 M/V - SEMM🍳 /重生EP.2,徹底 M/V - SEMM /重生EP.2
2501,鹹蛋音樂事工,徹底 M/V Teaser - SEMM🍳 /重生EP.2,徹底 M/V Teaser - SEMM /重生EP.2
2502,鹹蛋音樂事工,全因為你 Piano Cover - SEMM🍳/ 詩歌純音樂系列,全因為你 Piano Cover - SEMM / 詩歌純音樂系列
2515,Hillsong Kids,How many words in 3 John? 🤔 - Word Absurd Ep. 8,How many words in 3 John? - Word Absurd Ep. 8
2516,Hillsong Kids,How long did Noahs Boat Float? 🚢 - Word Absurd Ep. 3,How long did Noahs Boat Float? - Word Absurd Ep. 3
2517,Hillsong Kids,Toxic Turmoil! 🤢 - Word Absurd Ep. 2,Toxic Turmoil! - Word Absurd Ep. 2
2518,鹹蛋音樂事工,遇見光 M/V - SEMM🍳 /重生EP.1,遇見光 M/V - SEMM /重生EP.1
2519,鹹蛋音樂事工,遇見光 M/V Teaser - SEMM🍳 /重生EP.1,遇見光 M/V Teaser - SEMM /重生EP.1
2520,鹹蛋音樂事工,獻給我天上的主 Guitar cover - SEMM🍳/ 詩歌純音樂系列,獻給我天上的主 Guitar cover - SEMM / 詩歌純音樂系列
2533,Hillsong Kids,? Face Vs. 🥚 Roulette - Word Absurd Ep. 6,? Face Vs. Roulette - Word Absurd Ep. 6
2534,Hillsong Kids,How many Titanic's Did Moses Live For? 🤷‍♀️ - Word Absurd Ep. 9,How many Titanic's Did Moses Live For? - Word Absurd Ep. 9
2535,Hillsong Kids,How Many Bibles Sold? 📕 - Word Absurd Ep. 1,How Many Bibles Sold? - Word Absurd Ep. 1
2536,鹹蛋音樂事工,🍳重生EP Teaser - SEMM,重生EP Teaser - SEMM
2537,鹹蛋音樂事工,定睛 APHORAO M/V - SEMM🍳,定睛 APHORAO M/V - SEMM
2538,鹹蛋音樂事工,定睛 APHORAO M/V Teaser - SEMM🍳,定睛 APHORAO M/V Teaser - SEMM
2554,鹹蛋音樂事工,避難所 Piano cover - SEMM🍳/ 詩歌純音樂系列,避難所 Piano cover - SEMM / 詩歌純音樂系列
2555,鹹蛋音樂事工,這個家 Jazz version (Live Cover) - SEMM🍳,這個家 Jazz version (Live Cover) - SEMM
2556,鹹蛋音樂事工,Love Never Fails 愛永不止息 Cover - SEMM🍳,Love Never Fails 愛永不止息 Cover - SEMM
2572,鹹蛋音樂事工,城不會下沉 - SEMM🍳,城不會下沉 - SEMM
2573,鹹蛋音樂事工,🍳SEMM Live Cover | We are the Reason X You are my All in All ✞,SEMM Live Cover | We are the Reason X You are my All in All
2574,鹹蛋音樂事工,🍳This I Believe/神真正心意/只因愛/永遠敬拜/垂絲柳樹下- SEMM2019敬拜回顧,This I Believe/神真正心意/只因愛/永遠敬拜/垂絲柳樹下- SEMM2019敬拜回顧
2590,鹹蛋音樂事工,Forever 長存萬世 Cover - SEMM🍳,Forever 長存萬世 Cover - SEMM
2933,CantonHymn,預備好降雨了嗎？ (詩147) 비 준비하시니 - Stonegate Music Cantonese Cover Live,預備好降雨了嗎？ (詩147) 비 준비하시니 - Stonegate Music Cantonese Cover Live
3049,同心圓敬拜,❏ Facing GOD 全港信徒山上敬拜峰會 ❏ 峰會異象意念短片❏,Facing GOD 全港信徒山上敬拜峰會 峰會異象意念短片
3072,同心圓敬拜,【兒童敬拜音樂訓練營內容披露‼️】詩詩老師帶Drum Circle節奏慶典🥁×木木老師教歌唱秘技🎤,【兒童敬拜音樂訓練營內容披露】詩詩老師帶Drum Circle節奏慶典 ×木木老師教歌唱秘技
3086,同心圓敬拜,🐴DJ 馬馬親述 — 《無眠夜》與他的故事💬,DJ 馬馬親述 — 《無眠夜》與他的故事
3089,同心圓敬拜,【💬Chosen講員快問快答第3️⃣彈﹗】🤓褚牧：今年嘅信息非常「難啃」 🤯😱😲,【Chosen講員快問快答第3 彈﹗】 褚牧：今年嘅信息非常「難啃」
3090,同心圓敬拜,【💬Chosen講員快問快答第2️⃣彈﹗】🤓Alex：記得早啲到，可能會有Mirror同Error…⭕⭕⭕？﹗😍😍,【Chosen講員快問快答第2 彈﹗】 Alex：記得早啲到，可能會有Mirror同Error… ？﹗
3091,同心圓敬拜,【Chosen講員都玩快問快答？﹗😱】音樂會前夕Thomas竟然係忙緊⭕⭕⭕？﹗,【Chosen講員都玩快問快答？﹗】音樂會前夕Thomas竟然係忙緊 ？﹗
3190,新心音樂事工,我的產業 My Inheritance ​,我的產業 My Inheritance
3402,同心圓敬拜,【⚠️注意！主領入唔到！】3個TIPS讓主領容易入歌 | 同心圓「TWS音樂教室第二季」 第二集,【注意！主領入唔到！】3個TIPS讓主領容易入歌 | 同心圓「TWS音樂教室第二季」 第二集
3493,新心音樂事工,耶穌的聖名 Holy Name of Jesus ​,耶穌的聖名 Holy Name of Jesus
3658,新心音樂事工,耶和華我的救贖 Yahweh my Salvation ​,耶和華我的救贖 Yahweh my Salvation
3810,同心圓敬拜,「打開愛 • boxing love」2014 同心圓 • 水深火熱 (聖誕關愛服侍社區行動),「打開愛 boxing love」2014 同心圓 水深火熱 (聖誕關愛服侍社區行動)
4082,基恩敬拜,《有祢同行》現場版 With You By My Side - Live Worship AGWMM,《有祢同行》現場版 With You By My Side - Live Worship
4084,基恩敬拜,"《和散那歸於祢至高》Hosanna To You, The Most High AGWMM","《和散那歸於祢至高》Hosanna To You, The Most High"
4085,基恩敬拜,《乾旱盼雨的清晨》Thirst For Rain In The Desert Morning AGWMM,《乾旱盼雨的清晨》Thirst For Rain In The Desert Morning
4086,基恩敬拜,《更新我心》現場版 Renew My Heart - Live Worship AGWMM,《更新我心》現場版 Renew My Heart - Live Worship
4093,基恩敬拜,《永恆的主》現場版 Everlasting God - Live Worship AGWMM,《永恆的主》現場版 Everlasting God - Live Worship
4094,基恩敬拜,《放心，是我，不要怕》It Is I; Be Not Afraid AGWMM,《放心，是我，不要怕》It Is I; Be Not Afraid
4096,基恩敬拜,《赴水深處》Approaching The Deep Waters AGWMM,《赴水深處》Approaching The Deep Waters
4097,基恩敬拜,《復活的盼望》Resurrection Brings Hope AGWMM,《復活的盼望》Resurrection Brings Hope
4098,基恩敬拜,《除祢以外別無拯救》No One Can Save But You Alone AGWMM,《除祢以外別無拯救》No One Can Save But You Alone
4105,基恩敬拜,《仰望十架》現場版 Fixed Our Eyes On The Cross - Live Worship AGWMM,《仰望十架》現場版 Fixed Our Eyes On The Cross - Live Worship
4106,基恩敬拜,《無人像祢》There Is None Like You AGWMM,《無人像祢》There Is None Like You
4107,基恩敬拜,《感恩讚美》Praise With Thanksgiving AGWMM,《感恩讚美》Praise With Thanksgiving
4109,基恩敬拜,《靜候祢作為》Rejoice And Wait Upon The Lord AGWMM,《靜候祢作為》Rejoice And Wait Upon The Lord
4110,基恩敬拜,《清心像小孩》Like A Child With A Pure Heart AGWMM,《清心像小孩》Like A Child With A Pure Heart
4117,基恩敬拜,《天父同行》God is with me-祈禱仔兒童敬拜系列 AGWMM,《天父同行》God is with me-祈禱仔兒童敬拜系列
4118,基恩敬拜,《來高聲讚頌》《應當稱頌祢》(現場版)｜ 禱告更新2025｜AGWMM,《來高聲讚頌》《應當稱頌祢》(現場版)
4119,基恩敬拜,《繼續禱告》 Keep On Praying (現場版)｜ 禱告更新2025｜AGWMM,《繼續禱告》 Keep On Praying (現場版)
4120,基恩敬拜,《請堅固我》《陪我渡過》(現場版)｜ 禱告更新2025｜AGWMM,《請堅固我》《陪我渡過》(現場版)
4121,基恩敬拜,《平安的路》Path Of Peace (現場版)｜ 禱告更新2025｜AGWMM,《平安的路》Path Of Peace (現場版)
4122,基恩敬拜,《放下擔子》Lay Down The Burden (現場版)｜ 禱告更新2025｜AGWMM,《放下擔子》Lay Down The Burden (現場版)
4129,基恩敬拜,《普天頌讚》Songs Of Universal Praise (現場版)｜ 禱告更新2025｜AGWMM,《普天頌讚》Songs Of Universal Praise (現場版)
4130,基恩敬拜,《應許與我同在》You Promised To Be With Me (現場版)｜ 禱告更新2025｜AGWMM,《應許與我同在》You Promised To Be With Me (現場版)
4131,基恩敬拜,《賜我力量》Give Me Strength (現場版)｜ 禱告更新2025｜AGWMM,《賜我力量》Give Me Strength (現場版)
4132,基恩敬拜,《晨禱》Morning Prayer (華語版)｜ 禱告更新2025｜AGWMM,《晨禱》Morning Prayer (華語版)
4133,基恩敬拜,《祢是我惟一的倚靠》I Put My Trust In You (現場版)｜ 禱告更新2025｜AGWMM,《祢是我惟一的倚靠》I Put My Trust In You (現場版)
4134,基恩敬拜,《恩典的暴風》Grace In The Storm (現場版)｜ 禱告更新2025｜AGWMM,《恩典的暴風》Grace In The Storm (現場版)
4141,基恩敬拜,《給爸爸的信》Letter To My Father (現場版)｜ 禱告更新2025｜AGWMM,《給爸爸的信》Letter To My Father (現場版)
4142,基恩敬拜,【新年版！】《賜福給你》The Lord Bless You AGWMM,【新年版！】《賜福給你》The Lord Bless You
4143,基恩敬拜,《進祢院宇》Enter Your Courts (現場版)｜ 禱告更新2023｜AGWMM,《進祢院宇》Enter Your Courts (現場版)
4144,基恩敬拜,《求主垂聽我禱告》O God Hear My Cry (現場版)｜ 禱告更新2023｜AGWMM,《求主垂聽我禱告》O God Hear My Cry (現場版)
4145,基恩敬拜,《上帝總不撇下我》God Is Always By My Side AGWMM,《上帝總不撇下我》God Is Always By My Side
4146,基恩敬拜,《感恩的祭》A Thank Offering (現場版)｜ 禱告更新2023｜AGWMM,《感恩的祭》A Thank Offering (現場版)
4153,基恩敬拜,《信心的宣告》Confession Of Faith (現場版)｜ 禱告更新2023｜AGWMM,《信心的宣告》Confession Of Faith (現場版)
4154,基恩敬拜,【20周年呈獻】《神啊！我在這裏》O God! Here Am I AGWMM,【20周年呈獻】《神啊！我在這裏》O God! Here Am I
4155,基恩敬拜,《神愛世人》God So Loved The World (現場版)｜ 禱告更新2023｜AGWMM,《神愛世人》God So Loved The World (現場版)
4157,基恩敬拜,《神為我爭戰》The Lord Fights For Me (現場版)｜ 禱告更新2023｜AGWMM,《神為我爭戰》The Lord Fights For Me (現場版)
4158,基恩敬拜,"《慈繩愛索》The Rein Of Love, The Rope Of Grace (現場版)｜ 禱告更新2024｜AGWMM","《慈繩愛索》The Rein Of Love, The Rope Of Grace (現場版)"
4165,基恩敬拜,《諸天讚美》The Heavens Praise Him (現場版)｜ 禱告更新2024｜AGWMM,《諸天讚美》The Heavens Praise Him (現場版)
4166,基恩敬拜,《寶貴恩典》Precious Grace Of God (現場版)｜ 禱告更新2024｜AGWMM,《寶貴恩典》Precious Grace Of God (現場版)
4167,基恩敬拜,《互相守望》Watch Over For Each Other (現場版)｜ 禱告更新2024｜AGWMM,《互相守望》Watch Over For Each Other (現場版)
4168,基恩敬拜,《親眼看見祢》My Eyes Have Seen You (現場版)｜ 禱告更新2024｜AGWMM,《親眼看見祢》My Eyes Have Seen You (現場版)
4169,基恩敬拜,《謝謝祢的愛》Thank You For Your Love (現場版)｜ 禱告更新2024｜AGWMM,《謝謝祢的愛》Thank You For Your Love (現場版)
4170,基恩敬拜,《因為祢先愛我們》As You First Loved Us (現場版)｜ 禱告更新2024｜AGWMM,《因為祢先愛我們》As You First Loved Us (現場版)
4177,基恩敬拜,《信心的等待》Wait With Faith (現場版)｜ 禱告更新2024｜AGWMM,《信心的等待》Wait With Faith (現場版)
4178,基恩敬拜,《耶穌，耶穌真愛我》- 祈禱仔兒童敬拜系列 AGWMM,《耶穌，耶穌真愛我》- 祈禱仔兒童敬拜系列
4179,基恩敬拜,《神蹟處處》- 祈禱仔兒童敬拜系列 AGWMM,《神蹟處處》- 祈禱仔兒童敬拜系列
4180,基恩敬拜,《做個天父的小精兵》- 祈禱仔兒童敬拜系列 AGWMM,《做個天父的小精兵》- 祈禱仔兒童敬拜系列
4181,基恩敬拜,《擊鼓跳舞讚美神》- 祈禱仔兒童敬拜系列 AGWMM,《擊鼓跳舞讚美神》- 祈禱仔兒童敬拜系列
4182,基恩敬拜,《天父必保守你》- 祈禱仔兒童敬拜系列 AGWMM,《天父必保守你》- 祈禱仔兒童敬拜系列
4189,基恩敬拜,《打那美好的仗》- 祈禱仔兒童敬拜系列 AGWMM,《打那美好的仗》- 祈禱仔兒童敬拜系列
4190,基恩敬拜,《復活的盼望》Resurrection Brings Hope (現場版)｜ 禱告更新2024｜AGWMM,《復活的盼望》Resurrection Brings Hope (現場版)
4191,基恩敬拜,《原是為我》All For My Sake (現場版)｜ 禱告更新2024｜AGWMM,《原是為我》All For My Sake (現場版)
4192,基恩敬拜,【禱告更新2023】精華片段,精華片段
4194,基恩敬拜,《神愛世人》God So Love The World AGWMM,《神愛世人》God So Love The World
4202,基恩敬拜,《神為我爭戰》The Lord Fights For Me AGWMM,《神為我爭戰》The Lord Fights For Me
4204,基恩敬拜,【聖誕節全新編曲！】《願您平安》May Peace Be With You AGWMM,【聖誕節全新編曲！】《願您平安》May Peace Be With You
4205,基恩敬拜,【靈命塑造系列】當你痛苦難過時 - AGWMM,【靈命塑造系列】當你痛苦難過時
4206,基恩敬拜,【靈命塑造系列】當你感到無望時 - AGWMM,【靈命塑造系列】當你感到無望時
4215,基恩敬拜,【靈命塑造系列】當你困倦無力時 - AGWMM,【靈命塑造系列】當你困倦無力時
