id,artist,before,after
149,角聲使團,The Heralders 感恩祭燃起 THANKSGIVING OFFERING (4K UHD),The Heralders 感恩祭燃起 THANKSGIVING OFFERING
171,讚美之泉粵語,我的生命獻給祢 (粵語版 - 官方譯本),我的生命獻給祢 (粵語版)
172,讚美之泉粵語,我們的神 (粵語版 - 官方允准譯本),我們的神 (粵語版)
175,讚美之泉粵語,愛是不保留（關心妍 粵語詩歌 含經文歌詞）,愛是不保留(關心妍 粵語詩歌 含經文歌詞)
188,生命河粵語,好聽中文詩歌更深經歷你生命河靈糧堂-More Deeply（附歌詞）,好聽中文詩歌更深經歷你生命河靈糧堂-More Deeply(附歌詞)
189,生命河粵語,充滿我（生命河靈糧堂 含經文禱告旁白 國語詩歌）,充滿我(生命河靈糧堂 含經文禱告旁白 國語詩歌)
192,生命河粵語,每一次我讚美主 Every Time I Praise the Lord（生命河敬拜讚美系列 8「Shekinah榮耀同在」),每一次我讚美主 Every Time I Praise the Lord(生命河敬拜讚美系列 8「Shekinah榮耀同在」)
202,生命河粵語,【生命為何】What is the meaning of life? 詩歌合唱（粵語歌詞）Cantonese Christian Song,【生命為何】What is the meaning of life? 詩歌合唱(粵語歌詞)Cantonese Christian Song
207,生命河粵語,遇見你 Here In Your Presence（生命河敬拜讚美系列 8「Shekinah榮耀同在」),遇見你 Here In Your Presence(生命河敬拜讚美系列 8「Shekinah榮耀同在」)
222,約書亞樂團,【即或不然的生命 /】Live Worship - 璽恩SiEnVanessa,【即或不然的生命】Live Worship - 璽恩SiEnVanessa
247,約書亞樂團,No.24【如祢 / Like You】官方歌詞 - 璽恩 SiEnVanessa,No.24【如祢 / Like You】 - 璽恩 SiEnVanessa
259,盛曉玫,恩典的記號 Marks Of Grace (官方版） Amy Sand 泥土音樂專輯 幸福,恩典的記號 Marks Of Grace (官方版) Amy Sand 泥土音樂專輯 幸福
261,盛曉玫,泥土音樂 最適合安靜聆聽的詩歌 十首連續播放 （含歌詞）,泥土音樂 最適合安靜聆聽的詩歌 十首連續播放 (含歌詞)
272,天韻詩歌,精选【天韵合唱团】热门基督教赞美诗歌15首（二） - 眼光神的道理两个环真光献上感恩野地的花,精选【天韵合唱团】热门基督教赞美诗歌15首(二) - 眼光神的道理两个环真光献上感恩野地的花
274,天韻詩歌,精选【天韵合唱团】热门基督教赞美诗歌15首（二） - 美哉主耶稣日光之下最大的财富歌颂复活主是爱看不见的时候,精选【天韵合唱团】热门基督教赞美诗歌15首(二) - 美哉主耶稣日光之下最大的财富歌颂复活主是爱看不见的时候
306,生命河靈糧堂,精选【灵粮堂】最热门基督教赞美诗歌15首（三） - 带我进入幔内美好清晨诗篇23篇我的生命在乎你,精选【灵粮堂】最热门基督教赞美诗歌15首(三) - 带我进入幔内美好清晨诗篇23篇我的生命在乎你
307,生命河靈糧堂,精选【灵粮堂】最热门基督教赞美诗歌15首（一） - 充满我天开了你坐着为王,精选【灵粮堂】最热门基督教赞美诗歌15首(一) - 充满我天开了你坐着为王
308,生命河靈糧堂,行在信實恩典中 I Walk In Your Unfailing Grace（敬拜讚美系列 8「Shekinah榮耀同在」),行在信實恩典中 I Walk In Your Unfailing Grace(敬拜讚美系列 8「Shekinah榮耀同在」)
309,生命河靈糧堂,神的帳幕在人間 Your Dwelling Is with Man （敬拜讚美系列 8「Shekinah榮耀同在」),神的帳幕在人間 Your Dwelling Is with Man (敬拜讚美系列 8「Shekinah榮耀同在」)
311,生命河靈糧堂,精选【灵粮堂】最热门基督教赞美诗歌15首（四） - 活着为你赞美不停息战胜巨人的恩膏高声唱哈利路亚生命的泉源,精选【灵粮堂】最热门基督教赞美诗歌15首(四) - 活着为你赞美不停息战胜巨人的恩膏高声唱哈利路亚生命的泉源
312,生命河靈糧堂,精选【灵粮堂】最热门基督教赞美诗歌15首（五） - 赎罪羔羊渴望复兴的火神机会的风耶和华是我的力量开启我眼,精选【灵粮堂】最热门基督教赞美诗歌15首(五) - 赎罪羔羊渴望复兴的火神机会的风耶和华是我的力量开启我眼
313,生命河靈糧堂,我心頌揚 Break Forth In Song（敬拜讚美系列 8「Shekinah榮耀同在」),我心頌揚 Break Forth In Song(敬拜讚美系列 8「Shekinah榮耀同在」)
315,生命河靈糧堂,奇妙事必定要成就 Miracles Are Coming（敬拜讚美系列 8「Shekinah榮耀同在」),奇妙事必定要成就 Miracles Are Coming(敬拜讚美系列 8「Shekinah榮耀同在」)
318,生命河靈糧堂,Shekinah榮耀同在 Shekinah Glory（敬拜讚美系列 8「Shekinah榮耀同在」),Shekinah榮耀同在 Shekinah Glory(敬拜讚美系列 8「Shekinah榮耀同在」)
321,生命河靈糧堂,你是信實神 You Are The Faithful God（敬拜讚美系列 9 【神已經成就了】）,你是信實神 You Are The Faithful God(敬拜讚美系列 9 【神已經成就了】)
322,生命河靈糧堂,聖潔像你 Holy Like You（敬拜讚美系列 8「Shekinah榮耀同在」),聖潔像你 Holy Like You(敬拜讚美系列 8「Shekinah榮耀同在」)
325,生命河靈糧堂,神已經成就了 It Is All Finished Now（敬拜讚美系列 9 【神已經成就了】）,神已經成就了 It Is All Finished Now(敬拜讚美系列 9 【神已經成就了】)
331,生命河靈糧堂,再一次充滿我們 Come And Fill Us Once Again（敬拜讚美系列 9 【神已經成就了】）,再一次充滿我們 Come And Fill Us Once Again(敬拜讚美系列 9 【神已經成就了】)
332,生命河靈糧堂,在你眼中 In Your Eyes（敬拜讚美系列 9 【神已經成就了】）,在你眼中 In Your Eyes(敬拜讚美系列 9 【神已經成就了】)
333,生命河靈糧堂,屬靈的疾風吹來 Wind of the Spirit（敬拜讚美系列 8「Shekinah榮耀同在」),屬靈的疾風吹來 Wind of the Spirit(敬拜讚美系列 8「Shekinah榮耀同在」)
361,有情天音樂,精选【音乐】热门基督教赞美诗歌15首（一） - 我需要有你在我生命当中等候神耶和华的心因你与我同行以马内利你爱永不变,精选【音乐】热门基督教赞美诗歌15首(一) - 我需要有你在我生命当中等候神耶和华的心因你与我同行以马内利你爱永不变
363,有情天音樂,精选【音乐】热门基督教赞美诗歌15首（二） - 我心紧紧跟随你圣灵的活水江河主我相信你主耶稣宝血宁静时刻,精选【音乐】热门基督教赞美诗歌15首(二) - 我心紧紧跟随你圣灵的活水江河主我相信你主耶稣宝血宁静时刻
364,有情天音樂,耶和華的心 思親專輯1 蝴蝶片長4分22秒,耶和華的心 思親專輯1 蝴蝶
384,有情天音樂,千山萬水恩惠相隨（專輯）.wmv,千山萬水恩惠相隨(專輯).wmv
387,我心旋律,精选讚美詩歌 基督教赞美诗歌15首（一） - 轻轻听一生一世奇异恩典生命的执着最知心的朋友宣教的中国耶和华是爱我以祷告来到你跟前,精选讚美詩歌 基督教赞美诗歌15首(一) - 轻轻听一生一世奇异恩典生命的执着最知心的朋友宣教的中国耶和华是爱我以祷告来到你跟前
388,我心旋律,起初 / Worship Song (In the Beginning) / B'reishit / 創世記1168 摘編（妥拉 Torah第一週）,起初 / Worship Song (In the Beginning) / B'reishit / 創世記1168 摘編(妥拉 Torah第一週)
390,我心旋律,精选讚美詩歌 基督教赞美诗歌15首（二） - 大海中的道路中国的早晨五点钟祂悄悄踏过敬拜万世之王空谷的回音给我一颗中国心主祷文,精选讚美詩歌 基督教赞美诗歌15首(二) - 大海中的道路中国的早晨五点钟祂悄悄踏过敬拜万世之王空谷的回音给我一颗中国心主祷文
395,我心旋律,應許的遷徙（第二版本） / The Journey of the Promise,應許的遷徙(第二版本) / The Journey of the Promise
404,我心旋律,一生一世 - （诗篇274）,一生一世 - (诗篇274)
405,我心旋律,逾越節詩歌 容我的百姓去 應許的遷徙 （下篇） / Let My People Go / Worhip Song,逾越節詩歌 容我的百姓去 應許的遷徙 (下篇) / Let My People Go / Worhip Song
522,Jesus Culture,"Chris Quilala, Worship Together – Same God (Official Live Video)","Chris Quilala, Worship Together – Same God"
641,Kari Jobe,Revelation Song - (Official Live Video),Revelation Song
652,Matt Redman,Endless Hallelujah - (Worship with Lyrics),Endless Hallelujah - (Worship)
660,Matt Redman,We Praise You (Official Live Video),We Praise You
661,Matt Redman,All Praise (Sing Praise) (Official Live Video),All Praise (Sing Praise)
725,天韻詩歌,精选热门基督教赞美诗歌15首（二） - 眼光，神的道理，两个环，真光，献上感恩，野地的花,精选热门基督教赞美诗歌15首(二) - 眼光，神的道理，两个环，真光，献上感恩，野地的花
728,天韻詩歌,智慧的人《創作專輯之六 弦外之歌》片長：3分11秒,智慧的人《創作專輯之六 弦外之歌》
738,ACM,祢成就救恩 by HK | RedSea Music,祢成就救恩 by | RedSea Music
765,玻璃海,當我抬頭仰望 （國語 x 本) / 台港聯合敬拜 / Worship Nations x CantonHym,當我抬頭仰望 (國語 x 本) / 台港聯合敬拜 / Worship Nations x CantonHym
853,我心旋律,🎉🎉 詩歌～竭力稱頌耶和華 🎉🎉 / 新季節、新音符、新樂章/ ～葉邵家菁（創作者）,🎉🎉 詩歌～竭力稱頌耶和華 🎉🎉 / 新季節、新音符、新樂章/ ～葉邵家菁(創作者)
1372,Grace Wu詩歌,Gfriend - Dance Tutorial - Sowon part（Slow + Mirror）by Grace Wu,Gfriend - Dance Tutorial - Sowon part(Slow + Mirror)by Grace Wu
1375,Grace Wu詩歌,Pretty Please （拜托）- Short Dance Cover by Grace Wu,Pretty Please (拜托)- Short Dance Cover by Grace Wu
1376,Grace Wu詩歌,SphinX （斯芬克斯）- Dance Tutorial by Grace Wu,SphinX (斯芬克斯)- Dance Tutorial by Grace Wu
1519,CantonHymn,祢是配得高舉敬拜-祢是配得（聖哉聖哉全地唱） 粵語版,祢是配得高舉敬拜-祢是配得(聖哉聖哉全地唱) 粵語版
1588,U-Fire GYRO Band,按時 （Live） / Gyro Worship,按時 (Live) / Gyro Worship
1614,全心製作 HeartPro,親愛主 Dear Lord（吳秉堅）,親愛主 Dear Lord(吳秉堅)
1615,全心製作 HeartPro,珍惜眼前人 Treasure your love（吳秉堅）,珍惜眼前人 Treasure your love(吳秉堅)
1616,全心製作 HeartPro,赤道宣言 Declaration（吳秉堅）,赤道宣言 Declaration(吳秉堅)
1632,鹹蛋音樂事工,轉回（何西阿書十一）- SEMM🍳,轉回(何西阿書十一)- SEMM🍳
1679,U-Fire GYRO Band,Gyro - 按時 / Prep.（),Gyro - 按時 / Prep.
1744,全心製作 HeartPro,呼召 神祢在掌管 God Sovereignty Reign（蔡元雲醫生，全心敬拜組）,呼召 神祢在掌管 God Sovereignty Reign(蔡元雲醫生，全心敬拜組)
1745,全心製作 HeartPro,請差遣我 Pls Send Me（吳秉堅，徐偉賢，張淑衡，梁沃厚，Benson Li）,請差遣我 Pls Send Me(吳秉堅，徐偉賢，張淑衡，梁沃厚，Benson Li)
1746,全心製作 HeartPro,赤道宣言 Declaration（徐偉賢，張淑衡，梁沃厚，Benson Li）,赤道宣言 Declaration(徐偉賢，張淑衡，梁沃厚，Benson Li)
1783,全心製作 HeartPro,珍惜眼前人 Treasure your love（黃迦約）,珍惜眼前人 Treasure your love(黃迦約)
1784,全心製作 HeartPro,親愛主（梁沃厚，黃迦約）,親愛主(梁沃厚，黃迦約)
1785,全心製作 HeartPro,親愛主 Dear Lord（徐偉賢）,親愛主 Dear Lord(徐偉賢)
1838,CantonHymn,我確信這些（信經）(This I Believe (The Creed) - Hillsong Cover),我確信這些(信經)(This I Believe (The Creed) - Hillsong Cover)
1856,全心製作 HeartPro,信靠的故事 The Story of Trust（徐偉賢）,信靠的故事 The Story of Trust(徐偉賢)
1857,全心製作 HeartPro,願你高飛 You Will Fly（Chloe Chen）,願你高飛 You Will Fly(Chloe Chen)
1858,全心製作 HeartPro,朋友愛 A Friend Love（吳秉堅，金培達，鍾氏兄弟，梁沃厚）,朋友愛 A Friend Love(吳秉堅，金培達，鍾氏兄弟，梁沃厚)
1888,611 Worship,2025 GET SET LAUNCH （中 CHI）,2025 GET SET LAUNCH (中 CHI)
1945,全心製作 HeartPro,神祢在掌管 God Sovereignty Reign（金培達）,神祢在掌管 God Sovereignty Reign(金培達)
1946,全心製作 HeartPro,祂的一生 His Life（曾路得）,祂的一生 His Life(曾路得)
1947,全心製作 HeartPro,將心給我 Give me your heart（曾路德，鍾氏兄弟）,將心給我 Give me your heart(曾路德，鍾氏兄弟)
2043,全心製作 HeartPro,願 Wish（鍾氏兄弟）,願 Wish(鍾氏兄弟)
2044,全心製作 HeartPro,無言者 Silent party（鍾氏兄弟）,無言者 Silent party(鍾氏兄弟)
2045,全心製作 HeartPro,一生不枉過 Make Everyday Counts（陳明恩）,一生不枉過 Make Everyday Counts(陳明恩)
2112,鹹蛋音樂事工,若未來留白 - SEMM🍳（建道神學院 「___ to the future青年會議」主題曲）,若未來留白 - SEMM🍳(建道神學院 「___ to the future青年會議」主題曲)
2148,全心製作 HeartPro,We Are One（陳明恩，梁沃厚，全心敬拜組）,We Are One(陳明恩，梁沃厚，全心敬拜組)
2149,全心製作 HeartPro,頌讚祢Hallelujah（陳明恩，全心敬拜組）,頌讚祢Hallelujah(陳明恩，全心敬拜組)
2150,全心製作 HeartPro,祢是彌賽亞 U Are Messiah（陳明恩，全心敬拜組）,祢是彌賽亞 U Are Messiah(陳明恩，全心敬拜組)
2162,新心音樂事工,雲彩般的見證（二）,雲彩般的見證(二)
2169,新心音樂事工,雲彩般的見證（一）,雲彩般的見證(一)
2231,新心音樂事工,機緣巧合? (一）,機緣巧合? (一)
2306,CantonHymn,與祢更靠近（粵語版）- 約書亞樂團 Live,與祢更靠近(粵語版)- 約書亞樂團 Live
2602,悦雨音樂 GRM,有點甜（改篇歌詞版） / 余幸蓓 & 盧凱韻 Airy Lolo / 2020復活節音樂特輯【愛的BIG降】 / 基督教觀塘福臨教會,有點甜(改篇歌詞版) / 余幸蓓 & 盧凱韻 Airy Lolo / 2020復活節音樂特輯【愛的BIG降】 / 基督教觀塘福臨教會
2650,悦雨音樂 GRM,基督祂愛我（非原創） / Stephy / 2019 Caroling@YMCA TST / Phone Mic Recorded,基督祂愛我(非原創) / Stephy / 2019 Caroling@YMCA TST / Phone Mic Recorded
2920,CantonHymn,基督正是祢 (Jesus It is You 粵語版 Cantonese）,基督正是祢 (Jesus It is You 粵語版 Cantonese)
2922,CantonHymn,主祢照亮了一切 Son Music （主は我らの太陽 Cantonese Cover）,主祢照亮了一切 Son Music (主は我らの太陽 Cantonese Cover)
2942,CantonHymn,主深恩厚愛 （Goodness of God - Bethel Cantonese Cover Live),主深恩厚愛 (Goodness of God - Bethel Cantonese Cover Live)
2943,CantonHymn,愛永不止息 （여호와께 돌아가자 - J-US Ministry Cantonese Cover Live),愛永不止息 (여호와께 돌아가자 - J-US Ministry Cantonese Cover Live)
2947,CantonHymn,只想去歌頌 (Only Wanna Sing - Hillsong Cantonese Cover Version）,只想去歌頌 (Only Wanna Sing - Hillsong Cantonese Cover Version)
2954,CantonHymn,這所有主配得 （Worthy of It all -Cantonese Cover),這所有主配得 (Worthy of It all -Cantonese Cover)
2961,CantonHymn,上主施展美事 （耶和華行了大事）,上主施展美事 (耶和華行了大事)
2980,CantonHymn,耶穌基督是主 - 小羊詩歌（官方粵語版）,耶穌基督是主 - 小羊詩歌(官方粵語版)
2981,CantonHymn,一生不會捨棄祢 (CD Version),一生不會捨棄祢
2986,CantonHymn,神的羔羊 - 小羊詩歌（官方粵語版）,神的羔羊 - 小羊詩歌(官方粵語版)
2991,CantonHymn,我願為祢去 - 小羊詩歌（官方粵語核准版）,我願為祢去 - 小羊詩歌(官方粵語核准版)
2992,CantonHymn,主的軍隊 - 小羊詩歌（官方粵語核准版 Version Cover）,主的軍隊 - 小羊詩歌(官方粵語核准版 Version Cover)
2994,CantonHymn,讚頌祢聖名 - 小羊詩歌（官方粵語版）,讚頌祢聖名 - 小羊詩歌(官方粵語版)
2995,CantonHymn,祢住在我心 - 小羊詩歌（官方粵語核准版）,祢住在我心 - 小羊詩歌(官方粵語核准版)
2997,CantonHymn,如若 - 小羊詩歌（官方粵語版）,如若 - 小羊詩歌(官方粵語版)
2999,CantonHymn,讓我作活祭 - 小羊詩歌（官方粵語版）,讓我作活祭 - 小羊詩歌(官方粵語版)
3001,CantonHymn,活祭 - 小羊詩歌（官方粵語核准版）,活祭 - 小羊詩歌(官方粵語核准版)
3002,CantonHymn,祢比這一切更美麗 - 小羊詩歌（官方粵語核准版）,祢比這一切更美麗 - 小羊詩歌(官方粵語核准版)
3042,CantonHymn,基督正是祢 (Jesus It is You 粵語版 Cantonese Cover Version）,基督正是祢 (Jesus It is You 粵語版 Cantonese Cover Version)
3053,同心圓敬拜,同心圓｜《說有就有》（詩33）｜TWS 敬拜者使團｜「HOPE 盼望」 Live,同心圓｜《說有就有》(詩33)｜TWS 敬拜者使團｜「HOPE 盼望」 Live
3139,新心音樂事工,生命烈焰（快版）Flames of Life (Fast),生命烈焰(快版)Flames of Life (Fast)
3273,全心製作 HeartPro,WAO 蔡元雲點評 HD,WAO 蔡元雲點評
3289,全心製作 HeartPro,WAO We Are One HD (Official),WAO We Are One (Official)
3423,同心圓敬拜,【空間感長過門】詩老師教授3個貼士增加過門空間感！|「TWS 音樂教室」同心圓 （第七集）,【空間感長過門】詩老師教授3個貼士增加過門空間感！|「TWS 音樂教室」同心圓 (第七集)
3442,同心圓敬拜,訪問特輯：我們的「全港信徒事奉更新特會」回憶 （2018）－同心圓,訪問特輯：我們的「全港信徒事奉更新特會」回憶 (2018)－同心圓
3619,同心圓敬拜,開蓬巴士遊「打開·愛」2015（同心圓·敬拜關懷事工）,開蓬巴士遊「打開·愛」2015(同心圓·敬拜關懷事工)
3779,CantonHymn,奇蹟必可看見 （Mujizat Itu Nyata 奇蹟必會降臨 粵語版 Cantonese Cover）,奇蹟必可看見 (Mujizat Itu Nyata 奇蹟必會降臨 粵語版 Cantonese Cover)
3801,CantonHymn,你的愛 （그 사랑 얼마나 祂的愛） 廣東話版 Cantonese Cover),你的愛 (그 사랑 얼마나 祂的愛) 廣東話版 Cantonese Cover)
3808,同心圓敬拜,老友記大掃除迎新禧（同心圓．水深火熱關懷事工）,老友記大掃除迎新禧(同心圓．水深火熱關懷事工)
3810,同心圓敬拜,「打開愛 • boxing love」2014 同心圓 • 水深火熱 （聖誕關愛服侍社區行動）,「打開愛 • boxing love」2014 同心圓 • 水深火熱 (聖誕關愛服侍社區行動)
3816,同心圓敬拜,「打開愛．Boxing Love」2013  - 同心圓 ‧ 水深火熱 (聖誕關愛服侍社區行動) One Circle Care),「打開愛．Boxing Love」2013 - 同心圓 ‧ 水深火熱 (聖誕關愛服侍社區行動) One Circle Care)
3817,同心圓敬拜,同心圓．敬拜關懷事工「打開愛．Boxing Love」聖誕關愛社區行動2012（精簡版）,同心圓．敬拜關懷事工「打開愛．Boxing Love」聖誕關愛社區行動2012(精簡版)
3835,同心圓敬拜,福音平台 One Circle 事工簡介 (粵語）,福音平台 One Circle 事工簡介 (粵語)
3836,同心圓敬拜,福音平台 One Circle 事工簡介 (華語）,福音平台 One Circle 事工簡介 (華語)
3987,新心音樂事工,生命烈焰（慢版） Flames of Life (Slow),生命烈焰(慢版) Flames of Life (Slow)
4118,基恩敬拜,《來高聲讚頌》《應當稱頌祢》(現場版)｜ 禱告更新2025｜AGWMM Official Live,《來高聲讚頌》《應當稱頌祢》(現場版)｜ 禱告更新2025｜AGWMM
4119,基恩敬拜,《繼續禱告》 Keep On Praying (現場版)｜ 禱告更新2025｜AGWMM Official Live,《繼續禱告》 Keep On Praying (現場版)｜ 禱告更新2025｜AGWMM
4120,基恩敬拜,《請堅固我》《陪我渡過》(現場版)｜ 禱告更新2025｜AGWMM Official Live,《請堅固我》《陪我渡過》(現場版)｜ 禱告更新2025｜AGWMM
4121,基恩敬拜,《平安的路》Path Of Peace (現場版)｜ 禱告更新2025｜AGWMM Official Live,《平安的路》Path Of Peace (現場版)｜ 禱告更新2025｜AGWMM
4122,基恩敬拜,《放下擔子》Lay Down The Burden (現場版)｜ 禱告更新2025｜AGWMM Official Live,《放下擔子》Lay Down The Burden (現場版)｜ 禱告更新2025｜AGWMM
4129,基恩敬拜,《普天頌讚》Songs Of Universal Praise (現場版)｜ 禱告更新2025｜AGWMM Official Live,《普天頌讚》Songs Of Universal Praise (現場版)｜ 禱告更新2025｜AGWMM
4130,基恩敬拜,《應許與我同在》You Promised To Be With Me (現場版)｜ 禱告更新2025｜AGWMM Official Live,《應許與我同在》You Promised To Be With Me (現場版)｜ 禱告更新2025｜AGWMM
4131,基恩敬拜,《賜我力量》Give Me Strength (現場版)｜ 禱告更新2025｜AGWMM Official Live,《賜我力量》Give Me Strength (現場版)｜ 禱告更新2025｜AGWMM
4132,基恩敬拜,《晨禱》Morning Prayer (華語版)｜ 禱告更新2025｜AGWMM Official Live,《晨禱》Morning Prayer (華語版)｜ 禱告更新2025｜AGWMM
4133,基恩敬拜,《祢是我惟一的倚靠》I Put My Trust In You (現場版)｜ 禱告更新2025｜AGWMM Official Live,《祢是我惟一的倚靠》I Put My Trust In You (現場版)｜ 禱告更新2025｜AGWMM
4134,基恩敬拜,《恩典的暴風》Grace In The Storm (現場版)｜ 禱告更新2025｜AGWMM Official Live,《恩典的暴風》Grace In The Storm (現場版)｜ 禱告更新2025｜AGWMM
4141,基恩敬拜,《給爸爸的信》Letter To My Father (現場版)｜ 禱告更新2025｜AGWMM Official Live,《給爸爸的信》Letter To My Father (現場版)｜ 禱告更新2025｜AGWMM
4143,基恩敬拜,《進祢院宇》Enter Your Courts (現場版)｜ 禱告更新2023｜AGWMM Official Live,《進祢院宇》Enter Your Courts (現場版)｜ 禱告更新2023｜AGWMM
4144,基恩敬拜,《求主垂聽我禱告》O God Hear My Cry (現場版)｜ 禱告更新2023｜AGWMM Official Live,《求主垂聽我禱告》O God Hear My Cry (現場版)｜ 禱告更新2023｜AGWMM
4146,基恩敬拜,《感恩的祭》A Thank Offering (現場版)｜ 禱告更新2023｜AGWMM Official Live,《感恩的祭》A Thank Offering (現場版)｜ 禱告更新2023｜AGWMM
4153,基恩敬拜,《信心的宣告》Confession Of Faith (現場版)｜ 禱告更新2023｜AGWMM Official Live,《信心的宣告》Confession Of Faith (現場版)｜ 禱告更新2023｜AGWMM
4155,基恩敬拜,《神愛世人》God So Loved The World (現場版)｜ 禱告更新2023｜AGWMM Official Live,《神愛世人》God So Loved The World (現場版)｜ 禱告更新2023｜AGWMM
4157,基恩敬拜,《神為我爭戰》The Lord Fights For Me (現場版)｜ 禱告更新2023｜AGWMM Official Live,《神為我爭戰》The Lord Fights For Me (現場版)｜ 禱告更新2023｜AGWMM
4158,基恩敬拜,"《慈繩愛索》The Rein Of Love, The Rope Of Grace (現場版)｜ 禱告更新2024｜AGWMM Official Live","《慈繩愛索》The Rein Of Love, The Rope Of Grace (現場版)｜ 禱告更新2024｜AGWMM"
4165,基恩敬拜,《諸天讚美》The Heavens Praise Him (現場版)｜ 禱告更新2024｜AGWMM Official Live,《諸天讚美》The Heavens Praise Him (現場版)｜ 禱告更新2024｜AGWMM
